arch,regime,severity,mean,std,count
5a,holdout_E,1.0,0.3263310818176179,0.01691861374618852,3
5a,holdout_T,1.0,1.6072163656317224,0.1887360018031156,3
5a,holdout_c,1.0,0.25555885680261253,0.024947675075206423,3
5a,in_dist,1.0,0.295977918601052,0.014752278369744897,3
5a,overdamped,1.0,0.30417396751480746,0.009161422385586199,3
5a,stress,0.25,0.19889274200384058,0.02222717220488713,3
5a,stress,0.5,0.20685899546196115,0.01769439726639995,3
5a,stress,1.0,0.26755433327078143,0.023022148514830178,3
5a,stress,2.0,0.4257651865339673,0.02001177467991079,3
5a,stress,4.0,0.7787643879281142,0.01833222729469492,3
5b,holdout_E,1.0,0.45072743747160576,0.014776818373834755,3
5b,holdout_T,1.0,1.9003880328653562,0.12173066181551792,3
5b,holdout_c,1.0,0.3788067097536249,0.02856363610004788,3
5b,in_dist,1.0,0.4067064074733142,0.028659986522070406,3
5b,overdamped,1.0,0.4096209675517429,0.02900063886613043,3
5b,stress,0.25,0.25763733743963474,0.017708046222124737,3
5b,stress,0.5,0.3058502611376342,0.027544667100083922,3
5b,stress,1.0,0.40728173440549664,0.026405690589308965,3
5b,stress,2.0,0.6023363428048945,0.0429355975443654,3
5b,stress,4.0,0.971264506027226,0.034924374296421465,3
